"call_number","creator","date","description","headerImage","identifier","subject","title"
"srlf_ucla:LAGE-1727198","Haven, Alice B. (Alice Bradley), 1827-1863","","Publisher's green linen-texture cloth over boards, blocked in blind and gold. Upper board and spine detached; in protective case","","allsnotgoldthat00haveiala","Boys,Conduct of life,Voyages to the Pacific coast,Frontier and pioneer life -- California,Gold mines and mining -- California,California -- Gold discoveries Juvenile literature","""All's not gold that glitters"", or, The young Californian"
"srlf_ucla:LAGE-1310897","Field, Frederick, Mrs","1888-00-00T00:00:00Z","Maroon cloth over boards, blocked in black and gold","","bybyorharryleona00fieliala","Conduct of life,Conversion","""By and by;"" or, Harry Leonard"
"","Ogden, Ruth, 1853-1927","1891-00-00T00:00:00Z","","","couragestorywher00ogde2","","""Courage""; a story wherein every one comes to the conclusion that the courage in question proved a courage worth having"
"","Hosier, E. Eltinge","1890-00-00T00:00:00Z","","","gnitlesunbeam00hosi","","""Gnitle, the sunbeam"" .."
"srlf_ucla:LAGE-1310898","Field, Frederick, Mrs","1888-00-00T00:00:00Z","Maroon cloth over boards, blocked in black and gold","","ididnthearoralic00fieliala","Conduct of life,Conversion","""I didn't hear;"" or, Alice Leonard"
"srlf_ucla:LAGE-1310899","Field, Frederick, Mrs","1888-00-00T00:00:00Z","Maroon cloth over boards, blocked in black and gold","","iforgotorwillleo00fieliala","Conduct of life,Conversion","""I forgot;"" or, Will Leonard"
"","Lee, Janet,Nicholas L. Brown (Firm) pbl","1922-00-00T00:00:00Z","","","wildwomenromance00leej","","""Wild women"" : the romance of a flapper"
"","Ellis, Edward Sylvester, 1840-1916","","","","nedinblockhouset00elli","","... Ned in the block-house, a tale of early days in the west"
"","Castlemon, Harry, 1842-1915","","","","snoweduporsports00cast","Children's stories, American","... Snowed up : or, The Sportsman's club in the mountains"
"","Ellis, Edward Sylvester, 1840-1916","","","","launchboysadvent00elli","","... The launch boys' adventures in northern waters"
"","Dudley, Albertus T. (Albertus True), b. 1866","","","","pecksincamp00dudl","","... The Pecks in camp"
"700599","Robida, Albert, 1848-1926","","","","1430lesassieges00robi","","1430;"
"","Wilhelm Corrodi","1876-00-00T00:00:00Z","Fifty illustrated fables and nursery rhymes about animals, families, seasons, night and day, public holidays and some objects of daily usage. They are intended to help children develop an ethnic understanding and awareness. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=crrfbln_00300003&summary=true&route=text"" rel=""nofollow"">read a copy of '50 Fabeln Und Bilder Aus Der Jugendwelt'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","crrfbln","","50 Fabeln Und Bilder Aus Der Jugendwelt"
"","Reisen, Abraham","2001-00-00T00:00:00Z","","","9780657133658","","50 lider :"
"srlf_ucla:LAGE-464222","","","Printed yellow wrappers; wood-engraved, captioned vignettes of wood-lark and canary-bird on upper wrapper, ounce and dog on lower wrapper","","abcbooka00nulliala","Animals,English language -- Alphabet","[A B C book]"
